Splits,Time,Cumulative.Time,Moving.Time,Distance,Elev.Gain,Elev.Loss,Avg.Pace,Avg.Moving.Pace,Best.Pace,Avg.HR,Max.HR,Avg.Run.Cadence,Max.Run.Cadence,Avg.Stride.Length,Avg.Vertical.Ratio,Avg.Vertical.Oscillation,Avg.GCT.Balance,Avg.Ground.Contact.Time,Calories,Title,Temp,Wind,Weight,Percent.Fat,Percent.Muscle,Mileage.Previous.Week,Shoes
1,07:10.9,07:10.9,7:06,1,--,90,7:11,7:06,6:28,139,159,173,204,1.29,6.8,8.7,49.6% L / 50.4% R,272,87,2016-10-16 6.5 mil,52,11,168.6,22.3,52,44.25,Adrenaline
2,06:59.0,14:10,6:58,1,--,14,6:59,6:58,6:29,159,165,173,178,1.33,6.2,8.6,50.0% L / 50.0% R,267,112,2016-10-16 6.5 mil,52,11,168.6,22.3,52,44.25,Adrenaline
3,07:01.0,21:11,6:57,1,27,8,7:01,6:57,6:40,164,168,173,206,1.33,6.3,8.6,49.9% L / 50.1% R,266,116,2016-10-16 6.5 mil,52,11,168.6,22.3,52,44.25,Adrenaline
4,06:52.2,28:03:00,6:46,1,28,--,6:52,6:46,6:27,168,171,174,184,1.35,6.2,8.5,50.2% L / 49.8% R,264,115,2016-10-16 6.5 mil,52,11,168.6,22.3,52,44.25,Adrenaline
5,06:46.6,34:50:00,6:45,1,--,30,6:47,6:45,6:25,169,176,173,183,1.37,6.1,8.8,50.2% L / 49.8% R,263,115,2016-10-16 6.5 mil,52,11,168.6,22.3,52,44.25,Adrenaline
6,06:41.5,41:31:00,6:40,1,--,15,6:41,6:40,6:28,173,176,173,193,1.39,6.1,8.9,50.2% L / 49.8% R,261,117,2016-10-16 6.5 mil,52,11,168.6,22.3,52,44.25,Adrenaline
7,03:22.5,44:54:00,3:21,0.52,16,--,6:26,6:23,6:15,178,183,176,183,1.42,5.8,8.5,50.3% L / 49.7% R,255,61,2016-10-16 6.5 mil,52,11,168.6,22.3,52,44.25,Adrenaline
