Splits,Time,Cumulative.Time,Moving.Time,Distance,Elev.Gain,Elev.Loss,Avg.Pace,Avg.Moving.Pace,Best.Pace,Avg.HR,Max.HR,Avg.Run.Cadence,Max.Run.Cadence,Avg.Stride.Length,Avg.Vertical.Ratio,Avg.Vertical.Oscillation,Avg.GCT.Balance,Avg.Ground.Contact.Time,Calories,Title,Temp,Wind,Weight,Percent.Fat,Percent.Muscle,Mileage.Previous.Week,Shoes
1,07:09.3,07:09.3,7:04,1,--,90,7:09,7:04,6:26,144,159,172,219,1.3,6.9,8.6,49.6% L / 50.4% R,267,102,,,,,,,,
2,07:15.9,14:25,7:11,1,--,14,7:16,7:11,7:01,155,158,174,192,1.28,6.5,8.4,49.6% L / 50.4% R,267,117,,,,,,,,
3,07:25.3,21:51,7:22,1,21,5,7:25,7:22,6:52,156,161,173,181,1.26,6.7,8.5,49.6% L / 50.4% R,269,120,,,,,,,,
4,07:29.7,29:20:00,7:25,1,32,--,7:30,7:25,6:37,156,161,173,181,1.25,6.7,8.6,49.6% L / 50.4% R,269,121,,,,,,,,
5,07:18.1,36:38:00,7:13,1,--,20,7:18,7:13,6:37,156,161,172,177,1.29,6.9,8.8,49.8% L / 50.2% R,268,118,,,,,,,,
6,07:47.6,44:26:00,7:43,1,50,--,7:48,7:43,6:28,158,167,173,180,1.2,7.1,8.5,49.5% L / 50.5% R,272,125,,,,,,,,
7,07:41.6,52:07:00,7:34,1,39,--,7:42,7:34,6:45,158,169,174,192,1.21,7,8.4,49.7% L / 50.3% R,271,122,,,,,,,,
8,07:09.1,59:17:00,7:03,1,--,--,7:09,7:03,6:33,158,164,174,179,1.3,6.4,8.6,49.8% L / 50.2% R,266,115,,,,,,,,
9,07:32.9,1:06:50,7:27,1,53,--,7:33,7:27,6:48,164,170,173,185,1.23,6.7,8.4,49.7% L / 50.3% R,268,127,,,,,,,,
10,07:20.9,1:14:10,7:19,1,108,60,7:21,7:19,5:53,168,172,174,193,1.26,6.6,8.3,50.0% L / 50.0% R,269,128,,,,,,,,
11,00:31.4,1:14:42,0:27,0.1,--,41,5:19,4:34,5:12,172,174,181,201,1.8,5.2,8.8,50.0% L / 50.0% R,246,9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
