Splits,Time,Cumulative.Time,Moving.Time,Distance,Elev.Gain,Elev.Loss,Avg.Pace,Avg.Moving.Pace,Best.Pace,Avg.HR,Max.HR,Avg.Run.Cadence,Max.Run.Cadence,Avg.Stride.Length,Avg.Vertical.Ratio,Avg.Vertical.Oscillation,Avg.GCT.Balance,Avg.Ground.Contact.Time,Calories,Title,Temp,Wind,Weight,Percent.Fat,Percent.Muscle,Mileage.Previous.Week,Shoes
1,02:55.9,02:55.9,2:51,0.4,--,80,7:24,7:11,6:35,132,145,167,201,1.33,7.6,9.2,49.1% L / 50.9% R,283,35,2016-10-18 4.0 mil,59,8,168.3,21.9,52.4,45.4,Adrenaline
2,06:41.5,09:37.4,6:40,1,--,25,6:42,6:40,6:30,158,164,175,191,1.37,6.3,8.6,50.1% L / 49.9% R,262,105,2016-10-18 4.0 mil,59,8,168.3,21.9,52.4,45.4,Adrenaline
3,06:45.7,16:23,6:44,1,7,--,6:46,6:44,5:59,164,167,174,194,1.37,6,8.6,50.1% L / 49.9% R,264,112,2016-10-18 4.0 mil,59,8,168.3,21.9,52.4,45.4,Adrenaline
4,06:44.2,23:07,6:41,1,--,8,6:44,6:41,6:35,166,170,174,181,1.38,6.1,8.6,50.1% L / 49.9% R,265,113,2016-10-18 4.0 mil,59,8,168.3,21.9,52.4,45.4,Adrenaline
5,04:19.7,27:27:00,4:17,0.64,17,--,6:43,6:39,6:29,170,175,175,184,1.38,5.9,8.5,50.3% L / 49.7% R,263,74,2016-10-18 4.0 mil,59,8,168.3,21.9,52.4,45.4,Adrenaline
