Splits,Time,Cumulative.Time,Moving.Time,Distance,Elev.Gain,Elev.Loss,Avg.Pace,Avg.Moving.Pace,Best.Pace,Avg.HR,Max.HR,Avg.Run.Cadence,Max.Run.Cadence,Avg.Stride.Length,Avg.Vertical.Ratio,Avg.Vertical.Oscillation,Avg.GCT.Balance,Avg.Ground.Contact.Time,Calories,Title,Temp,Wind,Weight,Percent.Fat,Percent.Muscle,Mileage.Previous.Week,Shoes
1,07:00.5,07:00.5,7:00,1,--,98,7:01,7:00,6:33,139,155,174,238,1.32,6.4,8.7,49.4% L / 50.6% R,268,98,2016-10-26 18 mil,55,3,169.2,22,52.3,40.6,Saucony
2,07:17.4,14:18,7:14,1,9,--,7:17,7:14,6:52,154,160,174,186,1.27,6.5,8.5,49.8% L / 50.2% R,269,115,2016-10-26 18 mil,55,3,169.2,22,52.3,40.6,Saucony
3,07:33.4,21:51,7:31,1,44,39,7:33,7:31,6:47,151,165,175,199,1.22,6.9,8.4,49.8% L / 50.2% R,269,110,2016-10-26 18 mil,55,3,169.2,22,52.3,40.6,Saucony
4,07:19.5,29:11:00,7:17,1,2,30,7:19,7:17,6:50,154,161,173,188,1.27,6.5,8.6,50.0% L / 50.0% R,271,115,2016-10-26 18 mil,55,3,169.2,22,52.3,40.6,Saucony
5,07:12.9,36:24:00,7:08,1,16,5,7:13,7:08,6:55,153,157,173,196,1.3,6.6,8.7,50.0% L / 50.0% R,270,109,2016-10-26 18 mil,55,3,169.2,22,52.3,40.6,Saucony
6,07:11.6,43:35:00,7:10,1,--,7,7:12,7:10,6:40,153,157,173,187,1.3,6.7,8.6,50.1% L / 49.9% R,271,109,2016-10-26 18 mil,55,3,169.2,22,52.3,40.6,Saucony
7,07:03.3,50:39:00,7:00,1,--,--,7:03,7:00,6:44,154,157,174,190,1.32,6.3,8.6,50.1% L / 49.9% R,269,107,2016-10-26 18 mil,55,3,169.2,22,52.3,40.6,Saucony
8,07:07.5,57:46:00,7:05,1,4,--,7:07,7:05,6:42,154,160,174,184,1.3,6.5,8.6,50.3% L / 49.7% R,268,104,2016-10-26 18 mil,55,3,169.2,22,52.3,40.6,Saucony
9,07:24.5,1:05:10,7:17,1,86,29,7:24,7:17,6:10,158,166,176,197,1.25,6.6,8.1,50.3% L / 49.8% R,272,115,2016-10-26 18 mil,55,3,169.2,22,52.3,40.6,Saucony
10,07:04.8,1:12:15,7:00,1,--,41,7:05,7:00,6:07,156,163,174,192,1.31,6.7,8.6,50.3% L / 49.7% R,270,104,2016-10-26 18 mil,55,3,169.2,22,52.3,40.6,Saucony
11,07:26.8,1:19:42,7:22,1,--,--,7:27,7:22,6:30,157,166,174,189,1.25,6.5,8.4,50.3% L / 49.7% R,272,115,2016-10-26 18 mil,55,3,169.2,22,52.3,40.6,Saucony
12,07:11.8,1:26:54,7:09,1,68,38,7:12,7:09,6:34,155,161,174,226,1.29,6.8,8.6,50.2% L / 49.8% R,270,99,2016-10-26 18 mil,55,3,169.2,22,52.3,40.6,Saucony
13,07:39.5,1:34:33,7:35,1,56,12,7:39,7:35,6:22,158,164,174,190,1.22,6.9,8.4,50.1% L / 49.9% R,274,112,2016-10-26 18 mil,55,3,169.2,22,52.3,40.6,Saucony
14,08:03.6,1:42:37,8:00,1,73,--,8:04,8:00,6:50,158,164,174,190,1.15,7,8.2,50.2% L / 49.8% R,276,120,2016-10-26 18 mil,55,3,169.2,22,52.3,40.6,Saucony
15,07:08.5,1:49:46,7:08,1,--,--,7:09,7:08,6:44,157,162,174,196,1.31,6.5,8.5,50.3% L / 49.7% R,272,100,2016-10-26 18 mil,55,3,169.2,22,52.3,40.6,Saucony
16,07:00.0,1:56:46,6:59,1,--,4,7:00,6:59,6:47,162,165,174,184,1.32,6.5,8.5,50.3% L / 49.7% R,269,109,2016-10-26 18 mil,55,3,169.2,22,52.3,40.6,Saucony
17,07:42.0,2:04:28,7:41,1,76,--,7:42,7:41,6:46,165,168,174,182,1.21,6.5,8.2,50.2% L / 49.8% R,274,126,2016-10-26 18 mil,55,3,169.2,22,52.3,40.6,Saucony
18,07:13.8,2:11:41,7:09,1,79,95,7:14,7:09,5:51,168,173,173,194,1.29,6.7,8.4,50.2% L / 49.8% R,271,121,2016-10-26 18 mil,55,3,169.2,22,52.3,40.6,Saucony
19,00:48.5,2:12:30,0:43,0.14,--,43,5:48,5:09,5:53,171,173,173,187,1.7,5.9,9.4,49.7% L / 50.3% R,255,13,2016-10-26 18 mil,55,3,169.2,22,52.3,40.6,Saucony
